teks,location,bulan,word_length,clean,clean_stem,sentiment,sentiment_text,num_sentimen_lexicon,cleaned
vaksinvuritust suka kesal menganggap remeh virus semoga dilindungi ancaman virus jahanam,Sulawesi Utara,Mei,9,vaksinvuritust suka kesal menganggap remeh semoga dilindungi ancaman jahanam,vaksinvuritust suka kesal anggap remeh moga lindung ancam jahanam,7,positive,1,vaksinvuritust suka kesal anggap remeh virus moga lindung ancam virus jahanam
alhamdulillah gubernur aceh bpk ir h nova iriansyah mt menerima suntikan vaksin tahap 👍👍👍 https,Aceh,Januari,13,alhamdulillah gubernur aceh ir h nova iriansyah makan teman menerima suntikan tahap https,alhamdulillah gubernur aceh ir h nova iriansyah makan teman terima sunti tahap https,8,positive,1,alhamdulillah gubernur aceh bpk ir h nova iriansyah mt terima sunti vaksin tahap
mudah aman vaksin terpapar covid varian dannnn heehèee,Jawa Timur,Juni,6,mudah aman terpapar varian heeh ee,mudah aman papar varian heeh ee,2,positive,1,mudah aman vaksin papar covid varian dannnn heeh ee
kabar maret undangan vaksin via gojek,DKI Jakarta,Februari,5,kabar maret undangan via gojek,kabar maret undang via gojek,4,positive,1,kabar maret undang vaksin via gojek
vaksin lansia aman efektif melindungi lansia virus https tcodpnkvuzzcs,Sulawesi Barat,April,9,usia aman efektif melindungi usia https tcodpnkvuzzcs,usia aman efektif lindung usia https tcodpnkvuzzcs,9,positive,1,vaksin lansia aman efektif lindung lansia virus tcodpnkvuzzcs
vaksin yaaa ku galau😂😂😂😂,Kalimantan Timur,Juni,3,yaaa ku galau,yaaa ku galau,0,neutral,0,vaksin yaaa ku galau
virolatief setuju dipoin situasi terkait vaksin ro kebijakan terkait pandeminya pemahaman pencegahan jangka vaksin membentuk herd immunity contoh vaksin polio kawankawan ga wajib preventif,Nusa Tenggara Barat,Januari,21,virolatief setuju dipoin situasi terkait ro kebijakan terkait pandeminya pemahaman pencegahan jangka membentuk herd immunity contoh polio kawankawan ga wajib preventif,virolatief tuju poin situasi kait ro bijak kait pandemi paham cegah jangka bentuk herd immunity contoh polio kawankawan ga wajib preventif,20,positive,1,virolatief tuju poin situasi kait vaksin ro bijak kait pandemi paham cegah jangka vaksin bentuk herd immunity contoh vaksin polio kawankawan ga wajib preventif
melaksananka vaksin covid https,Sulawesi Utara,April,2,melaksananka https,melaksananka https,0,neutral,0,melaksananka vaksin covid
vaksin efek apaapa ngantuklaper sajatapi diatur,DI Yogyakarta,Juni,5,efek apaapa ngantuklaper sajatapi diatur,efek apaapa ngantuklaper sajatapi atur,7,positive,1,vaksin efek apaapa ngantuklaper sajatapi atur
bupati launching serbuan vaksin gedung bolavoli indoor putussibau animo diperpanjang https,Kalimantan Barat,Juni,10,bupati launching serbuan gedung bolavoli indoor putussibau animo diperpanjang https,bupati launching serbu gedung bolavoli indoor putussibau animo panjang https,6,positive,1,bupati launching serbu vaksin gedung bolavoli indoor putussibau animo panjang
sebal lengan habis kena vaksin nin hmmm,Kalimantan Barat,April,6,sebal lengan habis kena nin hmmm,sebal lengan habis kena nin hmmm,0,neutral,0,sebal lengan habis kena vaksin nin hmmm
mmmmonana engga nder budokternya vaksin mandiri mereknya ga pemerintah,Sumatera Utara,Februari,8,monana engga nder budokternya mandiri mereknya ga pemerintah,monana engga nder budokternya mandiri merek ga perintah,-3,negative,2,mmmmonana engga nder budokternya vaksin mandiri merek ga perintah
jd tua sdr usia vaksin mohon didampingi diedukasi proses skriningnya butuh belajarlah menghargai profesi apapun nakes memperlakukan usia tsb orangtua 🙏🏻🙏🏻🙏🏻,Banten,Februari,18,tua sdr usia mohon didampingi diedukasi proses skriningnya butuh belajarlah menghargai profesi apapun nakes memperlakukan usia tsb orangtua,tua sdr usia mohon damping edukasi proses skrining butuh bajar harga profesi apa nakes laku usia tsb orangtua,-5,negative,2,jd tua sdr usia vaksin mohon damping edukasi proses skrining butuh bajar harga profesi apa nakes laku usia tsb orangtua
nyeri otot habis vaksin mendingan sih pijetan seriusnanya,Banten,Mei,7,nyeri otot habis mendingan sih pijetan seriusnanya,nyeri otot habis mending sih pijetan seriusnanya,-3,negative,2,nyeri otot habis vaksin mending sih pijetan seriusnanya
dimasbayua infomalang vaksin az bagus usia diatas efek sampingnya rendah usia,Bali,Juni,10,dimasbayua infomalang az bagus usia diatas efek sampingnya rendah usia,dimasbayua infomalang az bagus usia atas efek samping rendah usia,-8,negative,2,dimasbayua infomalang vaksin az bagus usia atas efek samping rendah usia
selamat lobby bu menteri negeri menluri vaksin gratis who indonesia nampaknya terealisasi https,Kepulauan Bangka Belitung,Januari,12,selamat lobby bu menteri negeri menluri gratis who indonesia nampaknya terealisasi https,selamat lobby bu menteri negeri menluri gratis who indonesia nampaknya realisasi https,6,positive,1,selamat lobby bu menteri negeri menluri vaksin gratis who indonesia nampaknya realisasi
perwira mabes polri terima vaksinasi tahap i jajaran perwira mabes polri melaksanakan vaksin sinovac tahap i wisma bhayangkari mabes polri jakarta selatan vaksinasianggotapolri terbentuknya herd immunity https,Papua,Februari,28,perwira markas polri terima tahap i jajaran perwira markas polri melaksanakan sinovac tahap i wisma bhayangkari markas polri jakarta selatan vaksinasianggotapolri terbentuknya herd immunity https,perwira markas polri terima tahap i jajar perwira markas polri laksana sinovac tahap i wisma bhayangkari markas polri jakarta selatan vaksinasianggotapolri bentuk herd immunity https,17,positive,1,perwira mabes polri terima vaksinasi tahap i jajar perwira mabes polri laksana vaksin sinovac tahap i wisma bhayangkari mabes polri jakarta selatan vaksinasianggotapolri bentuk herd immunity
bang adian deh vaksin bussines is bussines,Sulawesi Tenggara,Januari,6,bang adian deh bussines is bussines,bang adi deh bussines is bussines,2,positive,1,bang adi deh vaksin bussines is bussines
vaksin https,Sumatera Utara,Maret,1,https,https,0,neutral,0,vaksin
baruu vaksin eh ujan ujanan gg,Sulawesi Utara,April,5,baruu eh ujan ujanan gg,baruu eh ujan ujanan gg,0,neutral,0,baruu vaksin eh ujan ujanan gg
vaksin alhamdulillah gejela,Sulawesi Selatan,Januari,2,alhamdulillah gejela,alhamdulillah gejela,5,positive,1,vaksin alhamdulillah gejela
estimasi biaya dibutuhkan bambi konsultsisuntikobat steril promo vaksin amp rabies vaksin lakukan bambi pulih scabies nya fokus sembuhin scabies parah kepala bambi,Kalimantan Tengah,Januari,20,estimasi biaya dibutuhkan bambi konsultsisuntikobat steril promo amp rabies lakukan bambi pulih scabies nya fokus sembuhin scabies parah kepala bambi,estimasi biaya butuh bambi konsultsisuntikobat steril promo amp rabies laku bambi pulih scabies nya fokus sembuhin scabies parah kepala bambi,-8,negative,2,estimasi biaya butuh bambi konsultsisuntikobat steril promo vaksin amp rabies vaksin laku bambi pulih scabies nya fokus sembuhin scabies parah kepala bambi
kalbar news tenaga kesehatan vaksin moderna https,Kalimantan Barat,Juni,6,kalbar news tenaga kesehatan moderna https,kalbar news tenaga sehat moderna https,7,positive,1,kalbar news tenaga sehat vaksin moderna
indonesia memilih vaksin aman berkhasiat cegah lupa disiplin mematuhi prokes disiplin prokes https,Sumatera Selatan,Juni,12,indonesia memilih aman berkhasiat cegah lupa disiplin mematuhi prokes disiplin prokes https,indonesia pilih aman khasiat cegah lupa disiplin patuh prokes disiplin prokes https,15,positive,1,indonesia pilih vaksin aman khasiat cegah lupa disiplin patuh prokes disiplin prokes
besok nek sakdrng e sontik vaksin ki rapid sek 🙈 https,DI Yogyakarta,Januari,9,besok nek sakdrng e sontik ki rapid sek https,besok nek sakdrng e sontik ki rapid sek https,0,neutral,0,besok nek sakdrng e sontik vaksin ki rapid sek
ow kejelasan vaksin 😊 jngn smpe menghabiskan memenuhi target persediaan vaksin habis trsebar terpakai masyarakat mnjadi tumbalnya,Sulawesi Tengah,Juni,14,ow kejelasan jngn smpe menghabiskan memenuhi target persediaan habis trsebar terpakai masyarakat mnjadi tumbalnya,ow jelas jngn smpe habis penuh target sedia habis trsebar pakai masyarakat mnjadi tumbal,9,positive,1,ow jelas vaksin jngn smpe habis penuh target sedia vaksin habis trsebar pakai masyarakat mnjadi tumbal
porsi kakak perempuan aya dikasih sakit copidd aya vaksin kasih sakitt aya dikasih sakit jantung diabet hipertensi pnyakit hati ktika copid merajalela akoo,Banten,Juni,22,porsi kakak perempuan aya dikasih sakit copidd aya kasih sakitt aya dikasih sakit jantung diabet hipertensi pnyakit hati ktika copid merajalela akoo,porsi kakak perempuan aya kasih sakit copidd aya kasih sakitt aya kasih sakit jantung abet hipertensi pnyakit hati ktika copid rajalela akoo,11,positive,1,porsi kakak perempuan aya kasih sakit copidd aya vaksin kasih sakitt aya kasih sakit jantung abet hipertensi pnyakit hati ktika copid rajalela akoo
capek banget nungguin vaksin ppit vaksin,Jawa Tengah,Juni,4,capek banget nungguin ppit,capek banget nungguin ppit,6,positive,1,capek banget nungguin vaksin ppit vaksin
daftar vaksin via scan billboardaqua ketemu billboard nya sungkan scan sukseskanvaksin,Sulawesi Tengah,April,10,daftar via scan billboardaqua ketemu billboard nya sungkan scan sukseskanvaksin,daftar via scan billboardaqua ketemu billboard nya sungkan scan sukseskanvaksin,-2,negative,2,daftar vaksin via scan billboardaqua ketemu billboard nya sungkan scan sukseskanvaksin
iyalah vaksin takut pigai 😛😛😝😾,Kalimantan Timur,Januari,3,iyalah takut pigai,iya takut pigai,1,positive,1,iya vaksin takut pigai
diorg vaksin lepas tu tamak pru lepas tu malaysian vaksin kena klua ngundi pastu at end rakyat x https,Kalimantan Tengah,Februari,17,diorg lepas tu tamak pru lepas tu malaysian kena klua ngundi pastu at end rakyat x https,diorg lepas tu tamak pru lepas tu malaysian kena klua ngundi pastu at end rakyat x https,-7,negative,2,diorg vaksin lepas tu tamak pru lepas tu malaysian vaksin kena klua ngundi pastu at end rakyat x
jadwal vaksinasi covid diselenggarakan kejaksaan resminya jam rakyat sdh membludak alokasi vaksin diumumkan rakyat tenda antrian besok https,Nusa Tenggara Timur,Maret,15,jadwal diselenggarakan kejaksaan resminya jam rakyat sdh membludak alokasi diumumkan rakyat tenda antrian besok https,jadwal selenggara jaksa resmi jam rakyat sdh membludak alokasi umum rakyat tenda antri besok https,6,positive,1,jadwal vaksinasi covid selenggara jaksa resmi jam rakyat sdh membludak alokasi vaksin umum rakyat tenda antri besok
giliran vaksin bawaannya rumah 😔😔😔,Banten,Januari,3,giliran bawaannya rumah,gilir bawa rumah,4,positive,1,gilir vaksin bawa rumah
aqutica coba besok teman ajak vaksin wkwkw,Bali,Juni,6,aqutica coba besok teman ajak wkwkw,aqutica coba besok teman ajak wkwkw,3,positive,1,aqutica coba besok teman ajak vaksin wkwkw
bm fotoan pas vaksin kaya pas vaksin bajunya buka foto vaksin,Jawa Tengah,April,8,bm fotoan pas kaya pas bajunya buka foto,bm foto pas kaya pas baju buka foto,19,positive,1,bm foto pas vaksin kaya pas vaksin baju buka foto vaksin
sbyfess ga mengerti ga vaksin,Jawa Timur,Juni,4,sbyfess ga mengerti ga,sbyfess ga erti ga,-2,negative,2,sbyfess ga erti ga vaksin
jokowi terbitkan aturan denda pidana menolak vaksin covid damai indonesiaku https,Kepulauan Bangka Belitung,Juni,9,jokowi terbitkan aturan denda pidana menolak damai indonesiaku https,jokowi terbit atur denda pidana tolak damai indonesia https,3,positive,1,jokowi terbit atur denda pidana tolak vaksin covid damai indonesia
putus rantai penularan vaksin prokes bersatu lawan fpi usirfpidanhrs https,Maluku,Maret,9,putus rantai penularan prokes bersatu lawan fpi usirfpidanhrs https,putus rantai tular prokes satu lawan fpi usirfpidanhrs https,0,neutral,0,putus rantai tular vaksin prokes satu lawan fpi usirfpidanhrs
thyaoci ribonk jogja rada sulit vaksin bawa usia ktp domisili semoga diperbanyak,Kalimantan Barat,April,11,thyaoci ribonk jogja rada sulit bawa usia ktp domisili semoga diperbanyak,thyaoci ribonk jogja rada sulit bawa usia ktp domisili moga banyak,5,positive,1,thyaoci ribonk jogja rada sulit vaksin bawa usia ktp domisili moga banyak
lindungi lindungi moheofficial jkjavmy kkmputrajaya politeknikmsia https,Aceh,Juni,7,lindungi lindungi moheofficial jkjavmy kkmputrajaya politeknikmsia https,lindung lindung moheofficial jkjavmy kkmputrajaya politeknikmsia https,8,positive,1,lindung lindung moheofficial jkjavmy kkmputrajaya politeknikmsia
vaksin dikawal ahli bpom mui https,Sulawesi Barat,Januari,5,dikawal ahli bpom mui https,kawal ahli bpom mui https,1,positive,1,vaksin kawal ahli bpom mui
aalmasih laiya haruskan pakai helm apaapa pointnyakan kecelakan terjadikan pakai helm pakai baju astronot pakai js hujan intne sdh vaksin bnyak positip catet teruss ppkm darurat kuadrat maning,Lampung,April,27,aalmasih laiya haruskan pakai helm apaapa pointnyakan kecelakan terjadikan pakai helm pakai baju astronot pakai js hujan intne sdh bnyak positip catet teruss ppkm darurat kuadrat maning,aalmasih laiya harus pakai helm apaapa pointnyakan cela jadi pakai helm pakai baju astronot pakai js hujan intne sdh bnyak positip catet teruss ppkm darurat kuadrat maning,-4,negative,2,aalmasih laiya harus pakai helm apaapa pointnyakan cela jadi pakai helm pakai baju astronot pakai js hujan intne sdh vaksin bnyak positip catet teruss ppkm darurat kuadrat maning
india gangga indonesia mudik vaksin berjalan lancar cepat kenaikan mutasi alami melemah kuat cepat sitifadilah,Lampung,Mei,14,india gangga indonesia mudik berjalan lancar cepat kenaikan mutasi alami melemah kuat cepat sitifadilah,india gangga indonesia mudik jalan lancar cepat naik mutasi alami lemah kuat cepat sitifadilah,12,positive,1,india gangga indonesia mudik vaksin jalan lancar cepat naik mutasi alami lemah kuat cepat sitifadilah
sinovac vaksin aman anakanak kemajuan indonesia https tconhanwwnidb,Sulawesi Tenggara,Juni,7,sinovac aman anakanak kemajuan indonesia https tconhanwwnidb,sinovac aman anakanak maju indonesia https tconhanwwnidb,0,neutral,0,sinovac vaksin aman anakanak maju indonesia tconhanwwnidb
alasan mengumumkan mekanisme jamaah haji kelangkaan vaksin dana haji terjamin https tcodcucdfpxab,Kalimantan Utara,Mei,11,alasan mengumumkan mekanisme jamaah haji kelangkaan dana haji terjamin https tcodcucdfpxab,alas umum mekanisme jamaah haji langka dana haji jamin https tcodcucdfpxab,-5,negative,2,alas umum mekanisme jamaah haji langka vaksin dana haji jamin tcodcucdfpxab
ayoo vaksin lahir pancasila https,Bengkulu,Juni,4,ayoo lahir pancasila https,ayoo lahir pancasila https,3,positive,1,ayoo vaksin lahir pancasila
alhamdulillah prioritas vaksin 😀 https,DKI Jakarta,Februari,3,alhamdulillah prioritas https,alhamdulillah prioritas https,5,positive,1,alhamdulillah prioritas vaksin
bungapecinta s account is temporarily unavailable because it violates twitter media policy learn more,Jawa Barat,Mei,14,bungapecinta s account is temporarily unavailable because it violates twitter media policy learn more,bungapecinta s account is temporarily unavailable because it violates twitter media policy learn more,0,neutral,0,bungapecinta s account is temporarily unavailable because it violates twitter media policy learn more
plindungi vaksin sertifikatnya,Kalimantan Utara,Januari,2,plindungi sertifikatnya,plindungi sertifikat,0,neutral,0,plindungi vaksin sertifikat
berburu vaksin faskes jawabannya https,Nusa Tenggara Timur,Juni,4,berburu faskes jawabannya https,buru faskes jawab https,4,positive,1,buru vaksin faskes jawab
riizkyaji kak maaf riwayat alergi obat vaksin ga si vaksin maju mundur huhu,Lampung,Februari,11,riizkyaji kak maaf riwayat alergi obat ga si maju mundur huhu,riizkyaji kak maaf riwayat alergi obat ga si maju mundur huhu,-4,negative,2,riizkyaji kak maaf riwayat alergi obat vaksin ga si vaksin maju mundur huhu
queen lupa vaksin 🙁😩😩 aaw ditiap property,Bali,Mei,5,queen lupa aaw ditiap property,queen lupa aaw tiap property,3,positive,1,queen lupa vaksin aaw tiap property
jumat wujudkan commander wish kapolri transpormasi operasional anggota polsek padangbai kontrol penyimpanan vaksin sinovak kespel p bai polreskarangasemid karangasemid infoamlapura nyomansuartinireal madesuadnyananopa https,Nusa Tenggara Barat,Mei,22,jumat wujudkan commander wish kapolri transpormasi operasional anggota polsek padangbai kontrol penyimpanan sinovak kespel p bai polreskarangasemid karangasemid infoamlapura nyomansuartinireal madesuadnyananopa https,jumat wujud commander wish kapolri transpormasi operasional anggota polsek padangbai kontrol simpan sinovak kespel p bai polreskarangasemid karangasemid infoamlapura nyomansuartinireal madesuadnyananopa https,-2,negative,2,jumat wujud commander wish kapolri transpormasi operasional anggota polsek padangbai kontrol simpan vaksin sinovak kespel p bai polreskarangasemid karangasemid infoamlapura nyomansuartinireal madesuadnyananopa
fessponti pas screening tunda vaksin bengek,Kalimantan Barat,Maret,5,fessponti pas screening tunda bengek,fessponti pas screening tunda bengek,3,positive,1,fessponti pas screening tunda vaksin bengek
zarazettirazr tvonenews redaksi nya takut gk kebagian vaksin,Lampung,Mei,7,zarazettirazr tvonenews redaksi nya takut gk kebagian,zarazettirazr tvonenews redaksi nya takut gk bagi,-1,negative,2,zarazettirazr tvonenews redaksi nya takut gk bagi vaksin
lapor vaksin jokowi 🙏😇 https,Jawa Tengah,April,3,lapor jokowi https,lapor jokowi https,2,positive,1,lapor vaksin jokowi
pemerintah mendorong percepatan vaksinasi skema vaksin gotong royong https,Sulawesi Barat,Januari,7,pemerintah mendorong percepatan skema gotong royong https,perintah dorong cepat skema gotong royong https,3,positive,1,perintah dorong cepat vaksinasi skema vaksin gotong royong
pas baca replyannya bikin istighfar ga mengerti kadang pandemik cepat ga mematuhi protokol kesehatan nyinyirin vaksin kumaha 💆💆,Sumatera Utara,Januari,16,pas baca replyannya bikin istighfar ga mengerti kadang pandemik cepat ga mematuhi protokol kesehatan nyinyirin kumaha,pas baca replyannya bikin istighfar ga erti kadang pandemik cepat ga patuh protokol sehat nyinyirin maha,14,positive,1,pas baca replyannya bikin istighfar ga erti kadang pandemik cepat ga patuh protokol sehat nyinyirin vaksin maha
jawafess gadekne sertifikat vaksin nggo tukur mahar lurs,Lampung,Juni,7,jawafess gadekne sertifikat nggo tukur mahar lurs,jawafess gadekne sertifikat nggo tukur mahar lurs,0,neutral,0,jawafess gadekne sertifikat vaksin nggo tukur mahar lurs
stevaniehuangg lahir buah cinta virus campur vaksin 🤣🤣,Banten,Mei,5,stevaniehuangg lahir buah cinta campur,stevaniehuangg lahir buah cinta campur,13,positive,1,stevaniehuangg lahir buah cinta virus campur vaksin
alhamdulillah 😁 dose pfizer biontech vaccine done good job dads 🙌🏼 jom dapatkan vaksin ragu² it s a protection pfizer https,Kalimantan Tengah,Mei,18,alhamdulillah dose pfizer biontech vaccine done good job dads jom dapatkan ragu it s a protection pfizer https,alhamdulillah dose pfizer biontech vaccine done good job dads jom dapat ragu it s a protection pfizer https,9,positive,1,alhamdulillah dose pfizer biontech vaccine done good job dads jom dapat vaksin ragu it s a protection pfizer
kmhworlds kayaknya besok lusa takut jarum 😭 vaksin,Nusa Tenggara Timur,Mei,6,kmhworlds kayaknya besok lusa takut jarum,kmhworlds kayak besok lusa takut jarum,-6,negative,2,kmhworlds kayak besok lusa takut jarum vaksin
edukasi vaksin brazil pakai artis top genre merakyat funk lagu populer miliar views youtube liriknya diubah promote vaksin https,Jawa Timur,Januari,17,edukasi brazil pakai artis top genre merakyat funk lagu populer miliar views youtube liriknya diubah promote https,edukasi brazil pakai artis top genre rakyat funk lagu populer miliar views youtube lirik ubah promote https,17,positive,1,edukasi vaksin brazil pakai artis top genre rakyat funk lagu populer miliar views youtube lirik ubah promote vaksin
habis ibox terbirlah eiger sayang kalah trend vaksin https,Jawa Barat,Januari,8,habis ibox terbirlah eiger sayang kalah trend https,habis ibox bir eiger sayang kalah trend https,-3,negative,2,habis ibox bir eiger sayang kalah trend vaksin
wompily yah not bad lahhabis vaksin lengan ku 😣 how bout adik,Nusa Tenggara Timur,April,10,wompily yah not bad lahhabis lengan ku how bout adik,wompily yah not bad lahhabis lengan ku how bout adik,-4,negative,2,wompily yah not bad lahhabis vaksin lengan ku how bout adik
vaksin corona nyembuhin bersin bersin,Kalimantan Timur,Februari,3,nyembuhin bersin bersin,nyembuhin bersin bersin,0,neutral,0,vaksin corona nyembuhin bersin bersin
anzja vaksin kebal 🤣,Banten,Maret,2,anzja kebal,anzja kebal,0,neutral,0,anzja vaksin kebal
vaksin gratis calon penumpang bandara pattimura dibuka wit wit https,Maluku,Mei,9,gratis calon penumpang bandara pattimura dibuka wit wit https,gratis calon tumpang bandara pattimura buka wit wit https,7,positive,1,vaksin gratis calon tumpang bandara pattimura buka wit wit
vaksin https,Kalimantan Timur,Februari,1,https,https,0,neutral,0,vaksin
ayo vaksin datangi puskesmas gerai vaksin terdekat https,Sulawesi Tengah,Januari,6,ayo datangi puskesmas gerai terdekat https,ayo datang puskesmas gerai dekat https,1,positive,1,ayo vaksin datang puskesmas gerai vaksin dekat
vaksin ragu aduuhh,Sulawesi Selatan,Januari,2,ragu aduuhh,ragu aduuhh,-3,negative,2,vaksin ragu aduuhh
vaksin tidur siang nyenyak,Kalimantan Barat,Juni,3,tidur siang nyenyak,tidur siang nyenyak,-1,negative,2,vaksin tidur siang nyenyak
kulebih iri vaksin nicsap ga https,DI Yogyakarta,Mei,5,kulebih iri nicsap ga https,lebih iri nicsap ga https,-3,negative,2,lebih iri vaksin nicsap ga
kelebihan vaksin protein subunit novavax strain sebabkan reaksi imunitas vaksin mrna adjuvan berubah ditambah bandingkan vaksin mrna,DKI Jakarta,Januari,14,kelebihan protein subunit novavax strain sebabkan reaksi imunitas mrna adjuvan berubah ditambah bandingkan mrna,lebih protein subunit novavax strain sebab reaksi imunitas mrna adjuvan ubah tambah banding mrna,12,positive,1,lebih vaksin protein subunit novavax strain sebab reaksi imunitas vaksin mrna adjuvan ubah tambah banding vaksin mrna
klaten jatah lanjutan dosis vaksin https,Jawa Timur,Februari,5,klaten jatah lanjutan dosis https,klaten jatah lanjut dosis https,5,positive,1,klaten jatah lanjut dosis vaksin
apakabar manusia vaksin,Bali,Mei,2,apakabar manusia,apakabar manusia,3,positive,1,apakabar manusia vaksin
